node_id,name,source,definition,properties
evid_XJ9M7ZLG_ent.ftir_spectrometer,傅里叶变换红外光谱仪,coddington2016,"基于迈克尔逊干涉仪的经典宽带光谱仪。通过机械移动反射镜扫描光程差， 记录干涉图后傅里叶变换获得光谱。使用热光源（黑体辐射）， 光谱覆盖范围极宽（近红外到远红外），是分析化学和分子光谱的标准工具。
","{'frequency_accuracy': '受仪器标定限制', 'light_source': '热光源（黑体辐射，非相干）', 'moving_parts': '需要精密扫描反射镜（机械干涉仪）', 'resolution_limit': '由最大光程差决定，典型 0.001–1 cm⁻¹', 'spectral_coverage': '极宽（近红外至远红外全覆盖）'}"
evid_imx242p7_ent.optical_to_microwave_photonic_synth_n20,光钟相位→10 GHz 微波相干下转换合成器（Nakamura 2020）,nakamura2020_imx242p7,"Level 2 实例，使能节点；跨专题（OFC + TF transfer 电学域）","{'demonstrated_value': 10000000000.0, 'fractional_instability': '1×10⁻¹⁸', 'microwave_freq': '10 GHz', 'topology': 'OFC + high-linearity photodetector + feed-forward servo', 'value_type': 'quantitative'}"
evid_PBGQXUED_ent.klm_bidirectional_ring_dual_comb_i16,KLM 单腔双向双梳环形激光器（Ideguchi 2016）,ideguchi2016,"基于单个 Ti:sapph KLM 环形腔，顺时针（CW）与逆时针（CCW）方向同时产生锁模脉冲； 因 Kerr 非线性不对称（CW 与 CCW 光路中非线性相移不同），两方向脉冲重频略有差异（Δf_rep ~ kHz，可调）； 形成天然""双梳""配置，相对相干性被动稳定（共享同一腔长），无需主动锁相系统（f-2f 或外部参考腔+伺服反馈）。 实现宽带双梳光谱（~700–1000 nm），互相干时间...","{'cavity_type': 'Ti:sapph KLM 环形腔（单腔，双向锁模）', 'cw_ccw_frep_difference': 'Δf_rep ~ kHz（可通过腔内元件位置微调）', 'locking_mechanism': 'Kerr 透镜锁模（KLM，软孔径）', 'mutual_coherence_time': '>10 s（自由运行，无主动稳定）', 'no_active_locking': '无需 f-2f 干涉仪、外部参考腔或伺服反馈系统', 'passive_stability': '相对相干性被动稳定（共享同一腔长）', 'repetition_rate': 'f_rep ~ 100 MHz（典型 Ti:sapph 环形腔）', 'spectral_coverage': '~700–1000 nm（宽带，Ti:sapph 增益带宽限制）'}"
evid_SOTA_P1,SOTA: Standard ULE Cavity (Room Temp),general_consensus,"Representative SOTA for standard room-temperature ULE cavities (~10-20cm).","{'demonstrated_value': 1e-16, 'unit': 'sigma_y(1s)', 'condition': 'Room temperature, ULE material'}"
evid_CDX3DFQR_ent.rb_atom_interferometer_o19,Ramsey-Bordé 原子干涉仪稳频（Olson 2019）,olson2019,"两束对射 ⁴⁰Ca 热原子束，在 ¹S₀-³P₁ (657 nm) 跃迁上 进行 Ramsey-Bordé 四脉冲干涉，1.6 kHz 干涉条纹， 荧光探测激发态布居。无 FP 腔的热噪声限制。
","{'atom': '⁴⁰Ca', 'demonstrated_value': 20000000000.0, 'frequency_instability': '<2×10⁻¹⁶ @ 10–1000 s', 'fringe_linewidth': '1.6 kHz', 'transition': '¹S₀ → ³P₁ (657 nm)', 'value_type': 'quantitative'}"
evid_R9HNIBTE_ent.er_yb_glass_comb_nardelli23,Er/Yb:glass 500 MHz 频率梳（Nardelli 2023）,nardelli2023,"Er/Yb 共掺杂磷酸盐玻璃晶体（QX/Er，2 mm，0.8% Er + 21% Yb）+ 自由空间线性腔（600 cm，frep ≈ 500 MHz） + SESAM 锁模 + 980 nm 二极管泵浦（450 mW）→ 65 mW 输出、180 fs 脉宽； 经 EDFA + HNLF 非线性展宽至倍频程 → f-2f 自参考； 双自由度（frep + fceo）同时锁定至两台超稳激光（11...","{'beat_stability': '<10⁻¹⁸ @ 1 s（Allan 偏差，与 Ti:sapph 同级）', 'dual_optical_lock': 'frep → 1070 nm USL, fceo → 1157 nm USL', 'f2f_method': 'EDFA + HNLF 超连续展宽 + f-2f 干涉仪', 'gain_medium': 'Er/Yb:glass (QX/Er, 2mm, 0.8%Er+21%Yb, τ_upper=7.9 ms)', 'mode_locking': 'SESAM（半导体可饱和吸收镜）自启模式锁定', 'output_power': '65 mW（泵浦 450 mW @ 980 nm）', 'pulse_width': '180 fs（transform-limited）', 'repetition_rate': '500 MHz（自由光谱范围 frep=fFSR）'}"
evid_8pxzl98k_ent.optical_satellite_ground_link_s21,光学卫星-地面时频传递链路（脉冲激光，Shen 2021 模拟）,shen2021_8pxzl98k,"卫星与地面站之间以脉冲激光承载时间（脉冲到达时刻）与频率（脉冲 train 重频）， 高时间分辨（~ps）+ 大非模糊区间；地面模拟 link budget + 动态多普勒， 端到端 instability 达到 10⁻¹⁸ 级。
","{'carrier': 'pulsed laser (fs–ps)', 'demonstrated_instability': '10⁻¹⁸ level', 'orbit_conclusion': 'high orbits favored'}"
evid_SOTA_P2,SOTA: Long ULE Cavity (Room Temp),general_consensus,"Representative SOTA for long ULE cavities (>40cm).","{'condition': 'Room temperature, Long-cavity, self-balancing', 'demonstrated_value': 5.000000000000001e-17, 'unit': 'sigma_y(1s)', 'value_type': 'quantitative'}"
evid_H93SHF89_ent.monolithic_erglass_comb_e18,整体式 Er:glass OFC（Endo 2018）,endo2018,"以 Er:glass 增益介质和 CaF₂ 晶体腔镜构成整体式全固态光学谐振腔，工作波长 1.56 μm， 重复频率 ~1.5 GHz。整体式结构消除腔内气路波动，显著降低往返损耗与腔内非线性相位噪声， 实现 OFC 自由运转（不锁定任何外部参考）下 ~1×10⁻¹⁹@1 s 的分数频率不稳定度—— 是已报告 OFC 自由运转性能中最优值。
","{'cavity_material': 'CaF₂（氟化钙晶体腔镜）', 'cavity_type': '整体式（monolithic）——无空气路径', 'center_wavelength': '1.56 μm', 'demonstrated_value': 10000000000.0, 'free_running_instability': '~1×10⁻¹⁹ @ 1 s gate time', 'gain_medium': 'Er:glass（掺铒玻璃）', 'repetition_rate': '~1.5 GHz', 'value_type': 'quantitative'}"
evid_AT5ZTB9M_ent.algaasoi_dark_pulse_microcomb_s22,AlGaAsOI 暗脉冲 Kerr 微梳源（Shu 2022 系统）,shu2022,"AlGaAs-on-insulator 异质集成高 Q 微环谐振器（Q ≈ 1–2×10⁶，半径 ~200 μm）， 依靠 AlGaAs 巨大三阶非线性（n₂ ≈ 2.6×10⁻¹⁷ m²/W）在正常色散 + 避免模交叉（avoided mode-crossing） 条件下由 DFB 片上激光直接 CW 泵浦，生成 180 GHz 齿距的暗脉冲（dark-pulse）Kerr 微梳。 相对明孤子，...","{'coherent_access_window': 'tens of GHz 泵浦失谐（~10× bright soliton）', 'coherent_comb_pump_power': 'few mW to 10 mW on-chip', 'comb_spacing_FSR': '~90 GHz（1-FSR）/ 180 GHz（2-FSR 工作点）', 'comb_state': 'normal-dispersion dark-pulse（通过 avoided mode-crossing 获得）', 'demonstrated_value': 20000000000.0, 'n2_kerr_coefficient': '2.6×10⁻¹⁷ m²/W', 'parametric_oscillation_threshold': '~tens of μW（<100 μW）', 'platform': 'AlGaAs-on-insulator（AlGaAsOI）异质集成', 'quality_factor_Q': '1×10⁶ – 2×10⁶', 'stability': 'free-running >7 h，small power fluctuation', 'startup_mode': 'turnkey（直接 DFB 打开即生成相干梳）', 'thermo_optic_coefficient': '2.3×10⁻⁴ K⁻¹', 'usable_lines_C_band': '20 连续梳齿（1537–1567 nm，3.75 THz 宽），<5 dB 功率差', 'value_type': 'quantitative'}"
evid_SCI-ESA-HRE-ESR-ISOC_ent.microwave_link_mwl,微波时频传递链路 MWL（I-SOC 空间段 Ku 波段双向链路）,cacciapuoti2017,"继承自 ACES 任务的双向双频微波链路，工作在 Ku 波段；用于空间–地面及地面–地面 （共视/非共视）时频比对。最高可用仰角范围覆盖大部分 ISS 过顶时间，不受云层严重影响。
","{'geometry': '双向双频 Ku 波段', 'inaccuracy': '$5\\cdot10^{-19}$（#SR-PL-10）', 'instability_ground_ground': '白相位噪声 $1.6\\cdot10^{-14}$ @ 10 s；\n闪烁相位噪声 mod $\\sigma_y = 1.6\\cdot10^{-13}/\\tau$；\n长期 $6\\cdot10^{-17}/\\sqrt{\\tau}$；闪烁地板 $5\\cdot10^{-19}$（#SR-PL-09）\n', 'pass_duration': '≤ 300 s / ISS 过顶', 'space_ground_scaling': '$\\sigma_{\\text{s-g}}(\\tau) = \\sigma_{\\text{MWL}}(\\tau)/\\sqrt{2}$'}"
evid_P4TCLWW2_ent.yb_fiber_750mhz_comb_m18,750 MHz Yb:fiber 紧锁梳（Ma 2018）,ma2018,"750 MHz 基频 Yb:fiber 锁模激光器，腔内体晶 EOM + 单级 PZT 为 f_rep 执行器， 泵浦电流调制为 f_CEO 执行器；两 DOF 均锁至连续波光学参考。 双台独立梳的 0.1 Hz–10 MHz 积分相噪 <1 rad，in-loop 分数稳定度 ~10⁻¹⁸ @ 1 s。
","{'fceo_actuator': '泵浦 LD 电流调制', 'fractional_instability_inloop': '~10⁻¹⁸ @ 1 s', 'frep_actuators': '腔内体晶 EOM（高频）+ 单级 PZT（低频）', 'gain_medium': 'Yb-doped 光纤', 'integrated_phase_noise': '<1 rad（0.1 Hz–10 MHz）', 'number_of_systems': '2 台独立梳', 'repetition_rate': '750 MHz（基频）'}"
evid_N3W35JH6_ent.harmonic_frequency_chain,谐波频率链,udem2002,"从铯原子钟的 9.2 GHz 微波频率出发，通过非线性二极管混频器、晶体倍频器 和相锁传递振荡器逐级产生谐波，最终到达光学频域（~10¹⁵ Hz）。 30 年间仅建成极少数频率链，每条只能测量一个特定光学频率， 系统庞大、昂贵、操作困难。被飞秒频率梳完全取代。
","{'frequency_range': '微波 → 红外 → 可见光（跨越 >4 个数量级）', 'limitation': '每条链只能测量单个光学频率', 'operational_complexity': '极高——需大量资源，全球仅少数实验室建成', 'stages': '多级非线性倍频 + 相锁传递振荡器', 'starting_frequency': '9,192,631,770 Hz（铯超精细分裂，SI 秒定义）'}"
